LINK,Year,S Mon,S Day,E Mon,E Day,S Time,E Time,Net,Side,Species,Length,LG,Count,Otolith,Date,Mort?,Code,Collected Live,Frozen
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,100,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,103,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,97,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,97,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,85,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,170,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,182,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,164,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,173,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,158,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,174,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,199,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,147,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,145,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,153,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,144,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,150,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,140,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,170,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,166,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,158,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,153,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,148,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,166,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,155,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,145,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,157,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,160,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,146,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,157,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,129,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,154,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,135,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,ARCS,131,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,BDWF,92,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,BDWF,94,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,BDWF,88,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,BDWF,91,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,BDWF,90,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,BDWF,87,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,BDWF,97,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,BDWF,91,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,BDWF,84,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,BDWF,196,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,BDWF,184,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,BDWF,133,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,BDWF,128,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,LSCS,286,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,LSCS,185,2,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,DLVN,147,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,DLVN,164,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,DLVN,169,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,DLVN,165,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,DLVN,181,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,DLVN,156,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,DLVN,145,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,DLVN,137,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,DLVN,155,1,1,,,,,,
06292022_214E,2022,6,28,6,29,14:54,13:14,214,E,DLVN,140,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,106,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,98,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,96,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,94,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,102,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,95,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,98,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,101,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,88,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,95,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,110,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,96,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,95,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,104,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,90,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,87,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,100,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,97,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,95,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,104,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,93,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,82,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,107,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,74,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,90,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,96,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,95,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,104,1,1,,,,,,
06292022_214W,2022,6,28,6,29,14:54,11:59,214,W,ARCS,90,1,1,,,,,,
