agency_cd	site_no	datetime	1211_00060_00003	1211_00060_00003_cd
USGS	15908000	6/26/2022	4580	P
USGS	15908000	6/27/2022	4810	P
USGS	15908000	6/28/2022	4820	P
USGS	15908000	6/29/2022	5160	P
USGS	15908000	6/30/2022	4580	P
USGS	15908000	7/1/2022	4670	P
USGS	15908000	7/2/2022	4440	P
USGS	15908000	7/3/2022	4630	P
USGS	15908000	7/4/2022	4450	P
USGS	15908000	7/5/2022	7340	P
USGS	15908000	7/6/2022	5890	P
USGS	15908000	7/7/2022	5320	P
USGS	15908000	7/8/2022	7990	P
USGS	15908000	7/9/2022	7550	P
USGS	15908000	7/10/2022	5950	P
USGS	15908000	7/11/2022	5400	P
USGS	15908000	7/12/2022	5260	P
USGS	15908000	7/13/2022	5770	P
USGS	15908000	7/14/2022	5650	P
USGS	15908000	7/15/2022	5240	P
USGS	15908000	7/16/2022	4880	P
USGS	15908000	7/17/2022	4350	P
USGS	15908000	7/18/2022	3920	P
USGS	15908000	7/19/2022	3860	P
USGS	15908000	7/20/2022	3430	P
USGS	15908000	7/21/2022	3030	P
USGS	15908000	7/22/2022	3020	P
USGS	15908000	7/23/2022	3520	P
USGS	15908000	7/24/2022	5940	P
USGS	15908000	7/25/2022	5600	P
USGS	15908000	7/26/2022	5530	P
USGS	15908000	7/27/2022	6150	P
USGS	15908000	7/28/2022	6610	P
USGS	15908000	7/29/2022	6870	P
USGS	15908000	7/30/2022	5780	P
USGS	15908000	7/31/2022	6270	P
USGS	15908000	8/1/2022	6580	P
USGS	15908000	8/2/2022	5900	P
USGS	15908000	8/3/2022	5100	P
USGS	15908000	8/4/2022	4390	P
USGS	15908000	8/5/2022	3970	P
USGS	15908000	8/6/2022	6730	P
USGS	15908000	8/7/2022	10800	P
USGS	15908000	8/8/2022	9050	P
USGS	15908000	8/9/2022	7600	P
USGS	15908000	8/10/2022	6500	P
USGS	15908000	8/11/2022	5390	P
USGS	15908000	8/12/2022	4800	P
USGS	15908000	8/13/2022	4650	P
USGS	15908000	8/14/2022	4690	P
USGS	15908000	8/15/2022	5250	P
USGS	15908000	8/16/2022	5870	P
USGS	15908000	8/17/2022	5820	P
USGS	15908000	8/18/2022	5830	P
USGS	15908000	8/19/2022	6040	P
USGS	15908000	8/20/2022	6810	P
USGS	15908000	8/21/2022	5870	P
USGS	15908000	8/22/2022	5000	P
USGS	15908000	8/23/2022	4420	P
USGS	15908000	8/24/2022	4120	P
			5490.666667	155.4781099
