agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	15908000	60	1211	1983	7	3777
USGS	15908000	60	1211	1983	8	2380
USGS	15908000	60	1211	1984	7	3633
USGS	15908000	60	1211	1984	8	5150
USGS	15908000	60	1211	1985	7	4469
USGS	15908000	60	1211	1985	8	2299
USGS	15908000	60	1211	1986	7	4482
USGS	15908000	60	1211	1986	8	3031
USGS	15908000	60	1211	1987	7	4972
USGS	15908000	60	1211	1987	8	6252
USGS	15908000	60	1211	1988	7	3135
USGS	15908000	60	1211	1988	8	3572
USGS	15908000	60	1211	1989	7	4425
USGS	15908000	60	1211	1989	8	4720
USGS	15908000	60	1211	1990	7	3003
USGS	15908000	60	1211	1990	8	1897
USGS	15908000	60	1211	1991	7	2839
USGS	15908000	60	1211	1991	8	2810
USGS	15908000	60	1211	1992	7	5470
USGS	15908000	60	1211	1992	8	4887
USGS	15908000	60	1211	1993	7	6188
USGS	15908000	60	1211	1993	8	3373
USGS	15908000	60	1211	1994	7	6676
USGS	15908000	60	1211	1994	8	5157
USGS	15908000	60	1211	1995	7	7370
USGS	15908000	60	1211	1995	8	3901
USGS	15908000	60	1211	1996	7	4372
USGS	15908000	60	1211	1996	8	2285
USGS	15908000	60	1211	1997	7	5549
USGS	15908000	60	1211	1997	8	5095
USGS	15908000	60	1211	1998	7	4151
USGS	15908000	60	1211	1998	8	4554
USGS	15908000	60	1211	1999	7	6655
USGS	15908000	60	1211	1999	8	5070
USGS	15908000	60	1211	2000	7	4820
USGS	15908000	60	1211	2000	8	3590
USGS	15908000	60	1211	2001	7	5091
USGS	15908000	60	1211	2001	8	4015
USGS	15908000	60	1211	2002	7	3926
USGS	15908000	60	1211	2002	8	4635
USGS	15908000	60	1211	2003	7	7348
USGS	15908000	60	1211	2003	8	6355
USGS	15908000	60	1211	2004	7	6166
USGS	15908000	60	1211	2004	8	5247
USGS	15908000	60	1211	2005	7	3064
USGS	15908000	60	1211	2005	8	1464
USGS	15908000	60	1211	2006	7	5015
USGS	15908000	60	1211	2006	8	4087
USGS	15908000	60	1211	2007	7	2873
USGS	15908000	60	1211	2007	8	3195
USGS	15908000	60	1211	2008	7	4743
USGS	15908000	60	1211	2008	8	2744
USGS	15908000	60	1211	2009	7	5149
USGS	15908000	60	1211	2009	8	2699
USGS	15908000	60	1211	2010	7	5620
USGS	15908000	60	1211	2010	8	6883
USGS	15908000	60	1211	2011	7	3741
USGS	15908000	60	1211	2011	8	2505
USGS	15908000	60	1211	2012	7	5672
USGS	15908000	60	1211	2012	8	4043
USGS	15908000	60	1211	2013	7	6486
USGS	15908000	60	1211	2013	8	3897
USGS	15908000	60	1211	2014	7	7200
USGS	15908000	60	1211	2014	8	4644
USGS	15908000	60	1211	2015	7	3027
USGS	15908000	60	1211	2015	8	3775
USGS	15908000	60	1211	2016	7	5489
USGS	15908000	60	1211	2016	8	3983
USGS	15908000	60	1211	2017	7	4981
USGS	15908000	60	1211	2017	8	5040
USGS	15908000	60	1211	2018	7	8670
USGS	15908000	60	1211	2018	8	7096
USGS	15908000	60	1211	2019	7	6303
USGS	15908000	60	1211	2019	8	9754
USGS	15908000	60	1211	2020	7	3225
USGS	15908000	60	1211	2020	8	3154
USGS	15908000	60	1211	2021	7	3573
USGS	15908000	60	1211	2021	8	2873
						129.0443771
						133.7711375
