datetime,temp,depth,salinity,conduct,velocity 
7/8/2022 12:00,7.88,-1.12,0,0,1437.89
7/8/2022 13:00,8.06,-1.12,0,0,1438.6
7/8/2022 14:00,8.19,-1.17,0,0,1439.17
7/8/2022 15:00,8.5,-1.17,0,0,1440.43
7/8/2022 16:00,8.63,-1.17,0,0,1440.98
7/8/2022 17:00,8.84,-1.17,0,0,1441.81
7/8/2022 18:00,9.11,-1.06,0,0,1442.9
7/8/2022 19:00,9.21,-1.12,0,0,1443.31
7/8/2022 20:00,9.27,-1.12,0,0,1443.58
7/8/2022 21:00,9.24,-1.17,0,0,1443.44
7/8/2022 22:00,9.14,-1.12,0,0,1443.04
7/8/2022 23:00,8.9,-1.12,0,0,1442.09
7/9/2022 0:00,8.63,-1.17,0,0,1440.98
7/9/2022 1:00,8.53,-1.17,0,0,1440.57
7/9/2022 2:00,7.92,-1.17,0,0,1438.03
7/9/2022 3:00,8.16,-1.12,0,0,1439.03
7/9/2022 4:00,8.02,-1.12,0,0,1438.46
7/9/2022 5:00,7.99,-1.12,0,0,1438.32
7/9/2022 6:00,7.92,-1.12,0,0,1438.03
7/9/2022 7:00,7.95,-1,0,0,1438.18
7/9/2022 8:00,7.95,-1.06,0,0,1438.18
7/9/2022 9:00,8.02,-1,0,0,1438.46
7/9/2022 10:00,8.16,-1,0,0,1439.03
7/9/2022 11:00,8.4,-0.94,0,0,1440.01
7/9/2022 12:00,8.57,-1,0,0,1440.71
7/9/2022 13:00,8.87,-1.06,0,0,1441.95
7/9/2022 14:00,9.24,-1.06,0,0,1443.45
7/9/2022 15:00,9.51,-1.06,0,0,1444.52
7/9/2022 16:00,9.77,-1.06,0.01,0,1445.58
7/9/2022 17:00,9.87,-1.12,0.01,0,1445.98
7/9/2022 18:00,9.91,-1.12,0.01,0,1446.11
7/9/2022 19:00,9.81,-1.06,0.01,0,1445.71
7/9/2022 20:00,9.71,-1.12,0.01,0,1445.32
7/9/2022 21:00,9.64,-1.12,0.01,0,1445.05
7/9/2022 22:00,9.57,-1.06,0.01,0,1444.79
7/9/2022 23:00,9.34,-1.12,0,0,1443.85
7/10/2022 0:00,9.17,-1.17,0,0,1443.17
7/10/2022 1:00,9.11,-1.12,0,0,1442.9
7/10/2022 2:00,8.94,-1.12,0,0,1442.22
7/10/2022 3:00,8.77,-1.12,0,0,1441.54
7/10/2022 4:00,8.63,-1.17,0,0,1440.98
7/10/2022 5:00,8.5,-1.06,0,0,1440.43
7/10/2022 6:00,8.4,-1,0,0,1440.01
7/10/2022 7:00,8.29,-1,0,0,1439.59
7/10/2022 8:00,8.53,-1,0,0,1440.57
7/10/2022 9:00,8.74,-0.89,0,0,1441.4
7/10/2022 10:00,8.97,-0.89,0,0,1442.36
7/10/2022 11:00,9.04,-0.83,0,0,1442.64
7/10/2022 12:00,9.41,-0.89,0,0,1444.12
7/10/2022 13:00,9.37,-0.83,0,0,1443.99
7/10/2022 14:00,9.61,-0.94,0.01,0,1444.92
7/10/2022 15:00,9.87,-0.94,0.01,0,1445.98
7/10/2022 16:00,10.07,-1,0.01,0,1446.76
7/10/2022 17:00,10.17,-0.94,0.01,0,1447.16
7/10/2022 18:00,10.2,-1,0.01,0,1447.29
7/10/2022 19:00,10.24,-0.94,0.01,0,1447.42
7/10/2022 20:00,10.17,-0.94,0.01,0,1447.16
7/10/2022 21:00,10.1,-0.94,0.01,0,1446.9
7/10/2022 22:00,10.04,-0.94,0.01,0,1446.63
7/10/2022 23:00,9.91,-1,0.01,0,1446.11
7/11/2022 0:00,9.81,-1,0.01,0,1445.71
7/11/2022 1:00,9.64,-0.94,0.01,0,1445.05
7/11/2022 2:00,9.57,-1,0.01,0,1444.79
7/11/2022 3:00,9.44,-1.06,0,0,1444.25
7/11/2022 4:00,9.31,-1,0,0,1443.72
7/11/2022 5:00,9.24,-1.06,0,0,1443.45
7/11/2022 6:00,9.37,-1,0,0,1443.98
7/11/2022 7:00,9.44,-0.94,0,0,1444.25
7/11/2022 8:00,9.14,-0.89,0,0,1443.04
7/11/2022 9:00,9.61,-0.89,0.01,0,1444.92
7/11/2022 10:00,9.61,-0.77,0.01,0,1444.92
7/11/2022 11:00,9.57,-0.77,0.01,0,1444.79
7/11/2022 12:00,9.77,-0.72,0.01,0,1445.59
7/11/2022 13:00,10.04,-0.72,0.01,0,1446.64
7/11/2022 14:00,10.17,-0.77,0.01,0,1447.16
7/11/2022 15:00,10.2,-0.72,0.01,0,1447.29
7/11/2022 16:00,10.37,-0.77,0.01,0,1447.94
7/11/2022 17:00,10.6,-0.89,0.01,0,1448.83
7/11/2022 18:00,10.66,-0.89,0.01,0,1449.09
7/11/2022 19:00,10.66,-0.94,0.01,0,1449.09
7/11/2022 20:00,10.73,-0.89,0.01,0,1449.34
7/11/2022 21:00,10.66,-0.94,0.01,0,1449.09
7/11/2022 22:00,10.66,-0.94,0.01,0,1449.09
7/11/2022 23:00,10.47,-0.89,0.01,0,1448.32
7/12/2022 0:00,10.07,-0.89,0.01,0,1446.77
7/12/2022 1:00,9.97,-1,0.01,0,1446.37
7/12/2022 2:00,9.87,-0.94,0.01,0,1445.98
7/12/2022 3:00,9.64,-1,0.01,0,1445.05
7/12/2022 4:00,9.54,-1.06,0.01,0,1444.65
7/12/2022 5:00,9.47,-1.06,0,0,1444.39
7/12/2022 6:00,9.51,-1,0,0,1444.52
7/12/2022 7:00,9.21,-1,0,0,1443.31
7/12/2022 8:00,9.31,-1.06,0,0,1443.72
7/12/2022 9:00,9.17,-1,0,0,1443.18
7/12/2022 10:00,9.11,-0.94,0,0,1442.91
7/12/2022 11:00,9.11,-0.83,0,0,1442.91
7/12/2022 12:00,9.07,-0.77,0,0,1442.77
7/12/2022 13:00,9.11,-0.83,0,0,1442.91
7/12/2022 14:00,9.07,-0.83,0,0,1442.77
