datetime,temp,depth,salinity,conduct,velocity 
7/10/2022 11:00,8.34,-2.17,0,0,1439.78
7/10/2022 12:00,8.72,-2.17,0,0,1441.3
7/10/2022 13:00,8.99,-2.11,0,0,1442.4
7/10/2022 14:00,9.12,-2.17,0,0,1442.94
7/10/2022 15:00,9.19,-2.17,0,0,1443.21
7/10/2022 16:00,9.32,-2.23,0,0,1443.75
7/10/2022 17:00,9.22,-2.29,0,0,1443.35
7/10/2022 18:00,9.45,-2.34,0,0,1444.28
7/10/2022 19:00,8.48,-2.29,0,0,1440.33
7/10/2022 20:00,7.87,-2.34,0,0,1437.8
7/10/2022 21:00,8.45,-2.34,0,0,1440.19
7/10/2022 22:00,8.31,-2.34,0,0,1439.64
7/10/2022 23:00,8.34,-2.34,0,0,1439.78
7/11/2022 0:00,8.68,-2.34,0,0,1441.16
7/11/2022 1:00,8.62,-2.4,0,0,1440.89
7/11/2022 2:00,8.68,-2.4,0,0,1441.16
7/11/2022 3:00,8.51,-2.34,0,0,1440.47
7/11/2022 4:00,8.41,-2.4,0,0,1440.05
7/11/2022 5:00,8.34,-2.34,0,0,1439.78
7/11/2022 6:00,8.41,-2.34,0,0,1440.05
7/11/2022 7:00,8.38,-2.29,0,0,1439.92
7/11/2022 8:00,8.48,-2.23,0,0,1440.33
7/11/2022 9:00,8.58,-2.11,0,0,1440.75
7/11/2022 10:00,8.62,-2.17,0,0,1440.89
7/11/2022 11:00,8.85,-2.05,0,0,1441.85
7/11/2022 12:00,9.09,-2.11,0,0,1442.81
7/11/2022 13:00,9.29,-2.05,0,0,1443.62
7/11/2022 14:00,8.78,-2.11,0,0,1441.58
7/11/2022 15:00,8.51,-2.05,0,0,1440.48
7/11/2022 16:00,8.92,-2.11,0,0,1442.13
7/11/2022 17:00,9.39,-2.17,0,0,1444.02
7/11/2022 18:00,9.75,-2.23,0.01,0,1445.48
7/11/2022 19:00,9.72,-2.23,0.01,0,1445.35
7/11/2022 20:00,9.82,-2.17,0.01,0,1445.75
7/11/2022 21:00,9.19,-2.17,0,0,1443.21
7/11/2022 22:00,9.62,-2.23,0.01,0,1444.95
7/11/2022 23:00,9.49,-2.17,0,0,1444.42
7/12/2022 0:00,9.45,-2.29,0,0,1444.29
7/12/2022 1:00,9.45,-2.29,0,0,1444.29
7/12/2022 2:00,9.19,-2.29,0,0,1443.21
7/12/2022 3:00,9.15,-2.29,0,0,1443.08
7/12/2022 4:00,8.82,-2.4,0,0,1441.71
7/12/2022 5:00,8.85,-2.4,0,0,1441.85
7/12/2022 6:00,8.62,-2.46,0,0,1440.89
7/12/2022 7:00,7.76,-2.4,0,0,1437.37
7/12/2022 8:00,8,-2.4,0,0,1438.37
7/12/2022 9:00,8.31,-2.29,0,0,1439.64
7/12/2022 10:00,8.34,-2.29,0,0,1439.78
7/12/2022 11:00,8.34,-2.23,0,0,1439.78
7/12/2022 12:00,8.11,-2.17,0,0,1438.8
7/12/2022 13:00,8.07,-2.17,0,0,1438.65
7/12/2022 14:00,7.97,-2.11,0,0,1438.23
7/12/2022 15:00,7.45,-2.11,0,0,1436.08
7/12/2022 16:00,7.63,-2.17,0,0,1436.8
7/12/2022 17:00,7.49,-2.23,0,0,1436.22
7/12/2022 18:00,7.97,-2.23,0,0,1438.23
7/12/2022 19:00,7.73,-2.29,0,0,1437.23
7/12/2022 20:00,7.7,-2.29,0,0,1437.09
7/12/2022 21:00,7.83,-2.23,0,0,1437.66
7/12/2022 22:00,7.7,-2.23,0,0,1437.09
7/12/2022 23:00,7.56,-2.17,0,0,1436.51
7/13/2022 0:00,7.18,-2.17,0,0,1434.91
7/13/2022 1:00,7.39,-2.23,0,0,1435.79
7/13/2022 2:00,7.18,-2.29,0,0,1434.91
7/13/2022 3:00,7.28,-2.23,0,0,1435.35
7/13/2022 4:00,7.32,-2.29,0,0,1435.49
7/13/2022 5:00,7.14,-2.4,0,0,1434.76
7/13/2022 6:00,6.97,-2.34,0,0,1434.02
7/13/2022 7:00,6.65,-2.34,0,0,1432.68
7/13/2022 8:00,6.51,-2.4,0,0,1432.08
7/13/2022 9:00,6.44,-2.34,0,0,1431.78
7/13/2022 10:00,6.44,-2.29,0,0,1431.78
7/13/2022 11:00,6.58,-2.17,0,0,1432.39
7/13/2022 12:00,6.65,-2.17,0,0,1432.69
7/13/2022 13:00,6.58,-2.05,0,0,1432.39
7/13/2022 14:00,6.58,-2.05,0,0,1432.39
7/13/2022 15:00,6.65,-2.05,0,0,1432.69
7/13/2022 16:00,6.65,-2.11,0,0,1432.69
7/13/2022 17:00,6.51,-2.23,0,0,1432.09
7/13/2022 18:00,6.27,-2.11,0,0,1431.03
7/13/2022 19:00,6.3,-2.23,0,0,1431.18
7/13/2022 20:00,6.23,-2.17,0,0,1430.87
7/13/2022 21:00,6.05,-2.17,0,0,1430.11
7/13/2022 22:00,5.95,-2.17,0,0,1429.64
7/13/2022 23:00,5.98,-2.11,0,0,1429.8
7/14/2022 0:00,5.91,-2.17,0,0,1429.49
7/14/2022 1:00,5.84,-2.23,0,0,1429.18
7/14/2022 2:00,6.02,-2.11,0,0,1429.95
7/14/2022 3:00,6.27,-2.05,0,0,1431.03
7/14/2022 4:00,5.81,-2.17,0,0,1429.02
7/14/2022 5:00,5.77,-2.23,0,0,1428.87
7/14/2022 6:00,5.73,-2.23,0,0,1428.71
7/14/2022 7:00,5.45,-2.29,0,0,1427.46
7/14/2022 8:00,5.48,-2.29,0,0,1427.61
7/14/2022 9:00,5.16,-2.34,0,0,1426.19
7/14/2022 10:00,5.27,-2.17,0,0,1426.67
7/14/2022 11:00,5.38,-2.11,0,0,1427.14
7/14/2022 12:00,5.45,-2.11,0,0,1427.46
7/14/2022 13:00,5.81,-2.05,0,0,1429.03
7/14/2022 14:00,5.98,-2,0,0,1429.8
7/14/2022 15:00,6.02,-2.05,0,0,1429.95
7/14/2022 16:00,6.13,-2.05,0,0,1430.42
7/14/2022 17:00,6.09,-2.17,0,0,1430.26
