Number;Date-Time;Temp(°C);Depth(m);Salinity(psu);Conduct(mS/cm);Velocity(m/sec)
1;08.07.2022 12:00:00;7,88;-1,12;0,00;0,00;1437,89
2;08.07.2022 13:00:00;8,06;-1,12;0,00;0,00;1438,60
3;08.07.2022 14:00:00;8,19;-1,17;0,00;0,00;1439,17
4;08.07.2022 15:00:00;8,50;-1,17;0,00;0,00;1440,43
5;08.07.2022 16:00:00;8,63;-1,17;0,00;0,00;1440,98
6;08.07.2022 17:00:00;8,84;-1,17;0,00;0,00;1441,81
7;08.07.2022 18:00:00;9,11;-1,06;0,00;0,00;1442,90
8;08.07.2022 19:00:00;9,21;-1,12;0,00;0,00;1443,31
9;08.07.2022 20:00:00;9,27;-1,12;0,00;0,00;1443,58
10;08.07.2022 21:00:00;9,24;-1,17;0,00;0,00;1443,44
11;08.07.2022 22:00:00;9,14;-1,12;0,00;0,00;1443,04
12;08.07.2022 23:00:00;8,90;-1,12;0,00;0,00;1442,09
13;09.07.2022 00:00:00;8,63;-1,17;0,00;0,00;1440,98
14;09.07.2022 01:00:00;8,53;-1,17;0,00;0,00;1440,57
15;09.07.2022 02:00:00;7,92;-1,17;0,00;0,00;1438,03
16;09.07.2022 03:00:00;8,16;-1,12;0,00;0,00;1439,03
17;09.07.2022 04:00:00;8,02;-1,12;0,00;0,00;1438,46
18;09.07.2022 05:00:00;7,99;-1,12;0,00;0,00;1438,32
19;09.07.2022 06:00:00;7,92;-1,12;0,00;0,00;1438,03
20;09.07.2022 07:00:00;7,95;-1,00;0,00;0,00;1438,18
21;09.07.2022 08:00:00;7,95;-1,06;0,00;0,00;1438,18
22;09.07.2022 09:00:00;8,02;-1,00;0,00;0,00;1438,46
23;09.07.2022 10:00:00;8,16;-1,00;0,00;0,00;1439,03
24;09.07.2022 11:00:00;8,40;-0,94;0,00;0,00;1440,01
25;09.07.2022 12:00:00;8,57;-1,00;0,00;0,00;1440,71
26;09.07.2022 13:00:00;8,87;-1,06;0,00;0,00;1441,95
27;09.07.2022 14:00:00;9,24;-1,06;0,00;0,00;1443,45
28;09.07.2022 15:00:00;9,51;-1,06;0,00;0,00;1444,52
29;09.07.2022 16:00:00;9,77;-1,06;0,01;0,00;1445,58
30;09.07.2022 17:00:00;9,87;-1,12;0,01;0,00;1445,98
31;09.07.2022 18:00:00;9,91;-1,12;0,01;0,00;1446,11
32;09.07.2022 19:00:00;9,81;-1,06;0,01;0,00;1445,71
33;09.07.2022 20:00:00;9,71;-1,12;0,01;0,00;1445,32
34;09.07.2022 21:00:00;9,64;-1,12;0,01;0,00;1445,05
35;09.07.2022 22:00:00;9,57;-1,06;0,01;0,00;1444,79
36;09.07.2022 23:00:00;9,34;-1,12;0,00;0,00;1443,85
37;10.07.2022 00:00:00;9,17;-1,17;0,00;0,00;1443,17
38;10.07.2022 01:00:00;9,11;-1,12;0,00;0,00;1442,90
39;10.07.2022 02:00:00;8,94;-1,12;0,00;0,00;1442,22
40;10.07.2022 03:00:00;8,77;-1,12;0,00;0,00;1441,54
41;10.07.2022 04:00:00;8,63;-1,17;0,00;0,00;1440,98
42;10.07.2022 05:00:00;8,50;-1,06;0,00;0,00;1440,43
43;10.07.2022 06:00:00;8,40;-1,00;0,00;0,00;1440,01
44;10.07.2022 07:00:00;8,29;-1,00;0,00;0,00;1439,59
45;10.07.2022 08:00:00;8,53;-1,00;0,00;0,00;1440,57
46;10.07.2022 09:00:00;8,74;-0,89;0,00;0,00;1441,40
47;10.07.2022 10:00:00;8,97;-0,89;0,00;0,00;1442,36
48;10.07.2022 11:00:00;9,04;-0,83;0,00;0,00;1442,64
49;10.07.2022 12:00:00;9,41;-0,89;0,00;0,00;1444,12
50;10.07.2022 13:00:00;9,37;-0,83;0,00;0,00;1443,99
51;10.07.2022 14:00:00;9,61;-0,94;0,01;0,00;1444,92
52;10.07.2022 15:00:00;9,87;-0,94;0,01;0,00;1445,98
53;10.07.2022 16:00:00;10,07;-1,00;0,01;0,00;1446,76
54;10.07.2022 17:00:00;10,17;-0,94;0,01;0,00;1447,16
55;10.07.2022 18:00:00;10,20;-1,00;0,01;0,00;1447,29
56;10.07.2022 19:00:00;10,24;-0,94;0,01;0,00;1447,42
57;10.07.2022 20:00:00;10,17;-0,94;0,01;0,00;1447,16
58;10.07.2022 21:00:00;10,10;-0,94;0,01;0,00;1446,90
59;10.07.2022 22:00:00;10,04;-0,94;0,01;0,00;1446,63
60;10.07.2022 23:00:00;9,91;-1,00;0,01;0,00;1446,11
61;11.07.2022 00:00:00;9,81;-1,00;0,01;0,00;1445,71
62;11.07.2022 01:00:00;9,64;-0,94;0,01;0,00;1445,05
63;11.07.2022 02:00:00;9,57;-1,00;0,01;0,00;1444,79
64;11.07.2022 03:00:00;9,44;-1,06;0,00;0,00;1444,25
65;11.07.2022 04:00:00;9,31;-1,00;0,00;0,00;1443,72
66;11.07.2022 05:00:00;9,24;-1,06;0,00;0,00;1443,45
67;11.07.2022 06:00:00;9,37;-1,00;0,00;0,00;1443,98
68;11.07.2022 07:00:00;9,44;-0,94;0,00;0,00;1444,25
69;11.07.2022 08:00:00;9,14;-0,89;0,00;0,00;1443,04
70;11.07.2022 09:00:00;9,61;-0,89;0,01;0,00;1444,92
71;11.07.2022 10:00:00;9,61;-0,77;0,01;0,00;1444,92
72;11.07.2022 11:00:00;9,57;-0,77;0,01;0,00;1444,79
73;11.07.2022 12:00:00;9,77;-0,72;0,01;0,00;1445,59
74;11.07.2022 13:00:00;10,04;-0,72;0,01;0,00;1446,64
75;11.07.2022 14:00:00;10,17;-0,77;0,01;0,00;1447,16
76;11.07.2022 15:00:00;10,20;-0,72;0,01;0,00;1447,29
77;11.07.2022 16:00:00;10,37;-0,77;0,01;0,00;1447,94
78;11.07.2022 17:00:00;10,60;-0,89;0,01;0,00;1448,83
79;11.07.2022 18:00:00;10,66;-0,89;0,01;0,00;1449,09
80;11.07.2022 19:00:00;10,66;-0,94;0,01;0,00;1449,09
81;11.07.2022 20:00:00;10,73;-0,89;0,01;0,00;1449,34
82;11.07.2022 21:00:00;10,66;-0,94;0,01;0,00;1449,09
83;11.07.2022 22:00:00;10,66;-0,94;0,01;0,00;1449,09
84;11.07.2022 23:00:00;10,47;-0,89;0,01;0,00;1448,32
85;12.07.2022 00:00:00;10,07;-0,89;0,01;0,00;1446,77
86;12.07.2022 01:00:00;9,97;-1,00;0,01;0,00;1446,37
87;12.07.2022 02:00:00;9,87;-0,94;0,01;0,00;1445,98
88;12.07.2022 03:00:00;9,64;-1,00;0,01;0,00;1445,05
89;12.07.2022 04:00:00;9,54;-1,06;0,01;0,00;1444,65
90;12.07.2022 05:00:00;9,47;-1,06;0,00;0,00;1444,39
91;12.07.2022 06:00:00;9,51;-1,00;0,00;0,00;1444,52
92;12.07.2022 07:00:00;9,21;-1,00;0,00;0,00;1443,31
93;12.07.2022 08:00:00;9,31;-1,06;0,00;0,00;1443,72
94;12.07.2022 09:00:00;9,17;-1,00;0,00;0,00;1443,18
95;12.07.2022 10:00:00;9,11;-0,94;0,00;0,00;1442,91
96;12.07.2022 11:00:00;9,11;-0,83;0,00;0,00;1442,91
97;12.07.2022 12:00:00;9,07;-0,77;0,00;0,00;1442,77
98;12.07.2022 13:00:00;9,11;-0,83;0,00;0,00;1442,91
99;12.07.2022 14:00:00;9,07;-0,83;0,00;0,00;1442,77
100;12.07.2022 15:00:00;9,04;-0,89;0,00;0,00;1442,64
101;12.07.2022 16:00:00;8,94;-0,89;0,00;0,00;1442,23
102;12.07.2022 17:00:00;8,94;-1,00;0,00;0,00;1442,22
103;12.07.2022 18:00:00;9,07;-0,94;0,00;0,00;1442,77
104;12.07.2022 19:00:00;8,94;-1,12;0,00;0,00;1442,22
105;12.07.2022 20:00:00;8,94;-1,06;0,00;0,00;1442,22
106;12.07.2022 21:00:00;8,80;-1,00;0,00;0,00;1441,68
107;12.07.2022 22:00:00;8,60;-1,00;0,00;0,00;1440,85
108;12.07.2022 23:00:00;8,53;-0,94;0,00;0,00;1440,57
109;13.07.2022 00:00:00;8,06;-0,94;0,00;0,00;1438,61
110;13.07.2022 01:00:00;8,06;-0,94;0,00;0,00;1438,61
111;13.07.2022 02:00:00;7,92;-1,00;0,00;0,00;1438,04
112;13.07.2022 03:00:00;7,68;-1,00;0,00;0,00;1437,03
113;13.07.2022 04:00:00;7,64;-1,06;0,00;0,00;1436,89
114;13.07.2022 05:00:00;7,44;-1,12;0,00;0,00;1436,02
115;13.07.2022 06:00:00;7,37;-1,12;0,00;0,00;1435,73
116;13.07.2022 07:00:00;7,26;-1,12;0,00;0,00;1435,29
117;13.07.2022 08:00:00;7,19;-1,12;0,00;0,00;1434,99
118;13.07.2022 09:00:00;6,91;-1,06;0,00;0,00;1433,81
119;13.07.2022 10:00:00;6,24;-1,00;0,00;0,00;1430,95
120;13.07.2022 11:00:00;5,71;-0,94;0,00;0,00;1428,62
121;13.07.2022 12:00:00;6,21;-0,83;0,00;0,00;1430,80
122;13.07.2022 13:00:00;6,00;-0,83;0,00;0,00;1429,87
123;13.07.2022 14:00:00;6,53;-0,83;0,00;0,00;1432,17
124;13.07.2022 15:00:00;6,39;-0,83;0,00;0,00;1431,56
125;13.07.2022 16:00:00;6,74;-0,83;0,00;0,00;1433,07
126;13.07.2022 17:00:00;6,67;-0,83;0,00;0,00;1432,77
127;13.07.2022 18:00:00;6,70;-0,89;0,00;0,00;1432,92
128;13.07.2022 19:00:00;6,00;-0,89;0,00;0,00;1429,87
129;13.07.2022 20:00:00;6,28;-0,89;0,00;0,00;1431,10
130;13.07.2022 21:00:00;6,21;-0,94;0,00;0,00;1430,79
131;13.07.2022 22:00:00;6,39;-0,89;0,00;0,00;1431,56
132;13.07.2022 23:00:00;6,42;-0,83;0,00;0,00;1431,71
133;14.07.2022 00:00:00;6,35;-0,83;0,00;0,00;1431,41
134;14.07.2022 01:00:00;6,07;-0,77;0,00;0,00;1430,18
135;14.07.2022 02:00:00;5,71;-0,77;0,00;0,00;1428,63
136;14.07.2022 03:00:00;5,42;-0,83;0,00;0,00;1427,36
137;14.07.2022 04:00:00;5,28;-0,89;0,00;0,00;1426,73
138;14.07.2022 05:00:00;4,88;-0,94;0,00;0,00;1424,95
139;14.07.2022 06:00:00;4,73;-1,00;0,00;0,00;1424,30
140;14.07.2022 07:00:00;4,40;-1,00;0,00;0,00;1422,82
141;14.07.2022 08:00:00;4,47;-0,94;0,00;0,00;1423,15
142;14.07.2022 09:00:00;4,44;-1,00;0,00;0,00;1422,98
143;14.07.2022 10:00:00;4,84;-1,00;0,00;0,00;1424,79
144;14.07.2022 11:00:00;4,73;-0,89;0,00;0,00;1424,30
145;14.07.2022 12:00:00;5,10;-0,83;0,00;0,00;1425,93
146;14.07.2022 13:00:00;5,39;-0,77;0,00;0,00;1427,21
147;14.07.2022 14:00:00;5,60;-0,72;0,00;0,00;1428,16
148;14.07.2022 15:00:00;5,35;-0,72;0,00;0,00;1427,05
149;14.07.2022 16:00:00;5,20;-0,72;0,00;0,00;1426,41
150;14.07.2022 17:00:00;5,20;-0,77;0,00;0,00;1426,41
