Number;Date-Time;Temp(°C);Depth(m);Salinity(psu);Conduct(mS/cm);Velocity(m/sec)
1;08.07.2022 09:00:00;8,95;-2,11;0,00;0,00;1442,26
2;08.07.2022 10:00:00;26,02;-1,88;0,01;0,00;1499,10
3;08.07.2022 11:00:00;23,80;-2,00;0,01;0,00;1493,00
4;08.07.2022 12:00:00;28,35;-2,00;0,01;0,00;1505,15
5;08.07.2022 13:00:00;29,61;-1,82;0,01;0,00;1508,26
6;08.07.2022 14:00:00;30,34;-1,94;0,01;0,00;1510,03
7;08.07.2022 15:00:00;27,68;-1,94;0,01;0,00;1503,45
8;08.07.2022 16:00:00;27,24;-2,00;0,01;0,00;1502,32
9;08.07.2022 17:00:00;28,61;-1,88;0,01;0,00;1505,81
10;08.07.2022 18:00:00;31,34;-1,88;0,01;0,00;1512,38
11;08.07.2022 19:00:00;30,78;-1,82;0,01;0,00;1511,08
12;08.07.2022 20:00:00;27,80;-1,94;0,01;0,00;1503,75
13;08.07.2022 21:00:00;21,92;-1,94;0,01;0,00;1487,57
14;08.07.2022 22:00:00;21,66;-1,94;0,01;0,00;1486,78
15;08.07.2022 23:00:00;18,81;-2,00;0,01;0,00;1477,97
16;09.07.2022 00:00:00;15,64;-2,00;0,01;0,00;1467,37
17;09.07.2022 01:00:00;12,83;-2,05;0,01;0,00;1457,31
18;09.07.2022 02:00:00;10,84;-2,11;0,01;0,00;1449,75
19;09.07.2022 03:00:00;9,25;-2,11;0,00;0,00;1443,48
20;09.07.2022 04:00:00;8,11;-2,23;0,00;0,00;1438,79
21;09.07.2022 05:00:00;7,94;-2,11;0,00;0,00;1438,09
22;09.07.2022 06:00:00;16,19;-1,82;0,01;0,00;1469,27
23;09.07.2022 07:00:00;16,73;-1,94;0,01;0,00;1471,13
24;09.07.2022 08:00:00;16,67;-1,88;0,01;0,00;1470,93
25;09.07.2022 09:00:00;18,33;-1,94;0,01;0,00;1476,42
26;09.07.2022 10:00:00;17,16;-1,94;0,01;0,00;1472,56
27;09.07.2022 11:00:00;28,70;-2,00;0,01;0,00;1506,03
28;09.07.2022 12:00:00;22,07;-2,11;0,01;0,00;1488,00
29;09.07.2022 13:00:00;16,70;-2,05;0,01;0,00;1471,03
30;09.07.2022 14:00:00;19,17;-2,00;0,01;0,00;1479,11
31;09.07.2022 15:00:00;24,27;-2,05;0,01;0,00;1494,32
32;09.07.2022 16:00:00;20,86;-2,05;0,01;0,00;1484,38
33;09.07.2022 17:00:00;21,92;-2,00;0,01;0,00;1487,57
34;09.07.2022 18:00:00;22,57;-1,94;0,01;0,00;1489,47
35;09.07.2022 19:00:00;23,25;-2,00;0,01;0,00;1491,42
36;09.07.2022 20:00:00;23,86;-1,88;0,01;0,00;1493,17
37;09.07.2022 21:00:00;23,92;-1,88;0,01;0,00;1493,34
38;09.07.2022 22:00:00;23,86;-1,88;0,01;0,00;1493,17
39;09.07.2022 23:00:00;23,65;-1,94;0,01;0,00;1492,59
40;10.07.2022 00:00:00;23,48;-1,88;0,01;0,00;1492,09
41;10.07.2022 01:00:00;23,33;-1,94;0,01;0,00;1491,67
42;10.07.2022 02:00:00;23,27;-2,00;0,01;0,00;1491,50
43;10.07.2022 03:00:00;23,13;-1,94;0,01;0,00;1491,08
44;10.07.2022 04:00:00;23,10;-1,94;0,01;0,00;1491,00
45;10.07.2022 05:00:00;21,87;-2,00;0,01;0,00;1487,39
46;10.07.2022 06:00:00;10,84;-2,05;0,01;0,00;1449,75
47;10.07.2022 07:00:00;9,45;-2,11;0,00;0,00;1444,29
48;10.07.2022 08:00:00;9,12;-2,05;0,00;0,00;1442,94
49;10.07.2022 09:00:00;17,76;-1,88;0,01;0,00;1474,56
50;10.07.2022 10:00:00;15,42;-1,94;0,01;0,00;1466,62
51;10.07.2022 11:00:00;8,34;-2,17;0,00;0,00;1439,78
52;10.07.2022 12:00:00;8,72;-2,17;0,00;0,00;1441,30
53;10.07.2022 13:00:00;8,99;-2,11;0,00;0,00;1442,40
54;10.07.2022 14:00:00;9,12;-2,17;0,00;0,00;1442,94
55;10.07.2022 15:00:00;9,19;-2,17;0,00;0,00;1443,21
56;10.07.2022 16:00:00;9,32;-2,23;0,00;0,00;1443,75
57;10.07.2022 17:00:00;9,22;-2,29;0,00;0,00;1443,35
58;10.07.2022 18:00:00;9,45;-2,34;0,00;0,00;1444,28
59;10.07.2022 19:00:00;8,48;-2,29;0,00;0,00;1440,33
60;10.07.2022 20:00:00;7,87;-2,34;0,00;0,00;1437,80
61;10.07.2022 21:00:00;8,45;-2,34;0,00;0,00;1440,19
62;10.07.2022 22:00:00;8,31;-2,34;0,00;0,00;1439,64
63;10.07.2022 23:00:00;8,34;-2,34;0,00;0,00;1439,78
64;11.07.2022 00:00:00;8,68;-2,34;0,00;0,00;1441,16
65;11.07.2022 01:00:00;8,62;-2,40;0,00;0,00;1440,89
66;11.07.2022 02:00:00;8,68;-2,40;0,00;0,00;1441,16
67;11.07.2022 03:00:00;8,51;-2,34;0,00;0,00;1440,47
68;11.07.2022 04:00:00;8,41;-2,40;0,00;0,00;1440,05
69;11.07.2022 05:00:00;8,34;-2,34;0,00;0,00;1439,78
70;11.07.2022 06:00:00;8,41;-2,34;0,00;0,00;1440,05
71;11.07.2022 07:00:00;8,38;-2,29;0,00;0,00;1439,92
72;11.07.2022 08:00:00;8,48;-2,23;0,00;0,00;1440,33
73;11.07.2022 09:00:00;8,58;-2,11;0,00;0,00;1440,75
74;11.07.2022 10:00:00;8,62;-2,17;0,00;0,00;1440,89
75;11.07.2022 11:00:00;8,85;-2,05;0,00;0,00;1441,85
76;11.07.2022 12:00:00;9,09;-2,11;0,00;0,00;1442,81
77;11.07.2022 13:00:00;9,29;-2,05;0,00;0,00;1443,62
78;11.07.2022 14:00:00;8,78;-2,11;0,00;0,00;1441,58
79;11.07.2022 15:00:00;8,51;-2,05;0,00;0,00;1440,48
80;11.07.2022 16:00:00;8,92;-2,11;0,00;0,00;1442,13
81;11.07.2022 17:00:00;9,39;-2,17;0,00;0,00;1444,02
82;11.07.2022 18:00:00;9,75;-2,23;0,01;0,00;1445,48
83;11.07.2022 19:00:00;9,72;-2,23;0,01;0,00;1445,35
84;11.07.2022 20:00:00;9,82;-2,17;0,01;0,00;1445,75
85;11.07.2022 21:00:00;9,19;-2,17;0,00;0,00;1443,21
86;11.07.2022 22:00:00;9,62;-2,23;0,01;0,00;1444,95
87;11.07.2022 23:00:00;9,49;-2,17;0,00;0,00;1444,42
88;12.07.2022 00:00:00;9,45;-2,29;0,00;0,00;1444,29
89;12.07.2022 01:00:00;9,45;-2,29;0,00;0,00;1444,29
90;12.07.2022 02:00:00;9,19;-2,29;0,00;0,00;1443,21
91;12.07.2022 03:00:00;9,15;-2,29;0,00;0,00;1443,08
92;12.07.2022 04:00:00;8,82;-2,40;0,00;0,00;1441,71
93;12.07.2022 05:00:00;8,85;-2,40;0,00;0,00;1441,85
94;12.07.2022 06:00:00;8,62;-2,46;0,00;0,00;1440,89
95;12.07.2022 07:00:00;7,76;-2,40;0,00;0,00;1437,37
96;12.07.2022 08:00:00;8,00;-2,40;0,00;0,00;1438,37
97;12.07.2022 09:00:00;8,31;-2,29;0,00;0,00;1439,64
98;12.07.2022 10:00:00;8,34;-2,29;0,00;0,00;1439,78
99;12.07.2022 11:00:00;8,34;-2,23;0,00;0,00;1439,78
100;12.07.2022 12:00:00;8,11;-2,17;0,00;0,00;1438,80
101;12.07.2022 13:00:00;8,07;-2,17;0,00;0,00;1438,65
102;12.07.2022 14:00:00;7,97;-2,11;0,00;0,00;1438,23
103;12.07.2022 15:00:00;7,45;-2,11;0,00;0,00;1436,08
104;12.07.2022 16:00:00;7,63;-2,17;0,00;0,00;1436,80
105;12.07.2022 17:00:00;7,49;-2,23;0,00;0,00;1436,22
106;12.07.2022 18:00:00;7,97;-2,23;0,00;0,00;1438,23
107;12.07.2022 19:00:00;7,73;-2,29;0,00;0,00;1437,23
108;12.07.2022 20:00:00;7,70;-2,29;0,00;0,00;1437,09
109;12.07.2022 21:00:00;7,83;-2,23;0,00;0,00;1437,66
110;12.07.2022 22:00:00;7,70;-2,23;0,00;0,00;1437,09
111;12.07.2022 23:00:00;7,56;-2,17;0,00;0,00;1436,51
112;13.07.2022 00:00:00;7,18;-2,17;0,00;0,00;1434,91
113;13.07.2022 01:00:00;7,39;-2,23;0,00;0,00;1435,79
114;13.07.2022 02:00:00;7,18;-2,29;0,00;0,00;1434,91
115;13.07.2022 03:00:00;7,28;-2,23;0,00;0,00;1435,35
116;13.07.2022 04:00:00;7,32;-2,29;0,00;0,00;1435,49
117;13.07.2022 05:00:00;7,14;-2,40;0,00;0,00;1434,76
118;13.07.2022 06:00:00;6,97;-2,34;0,00;0,00;1434,02
119;13.07.2022 07:00:00;6,65;-2,34;0,00;0,00;1432,68
120;13.07.2022 08:00:00;6,51;-2,40;0,00;0,00;1432,08
121;13.07.2022 09:00:00;6,44;-2,34;0,00;0,00;1431,78
122;13.07.2022 10:00:00;6,44;-2,29;0,00;0,00;1431,78
123;13.07.2022 11:00:00;6,58;-2,17;0,00;0,00;1432,39
124;13.07.2022 12:00:00;6,65;-2,17;0,00;0,00;1432,69
125;13.07.2022 13:00:00;6,58;-2,05;0,00;0,00;1432,39
126;13.07.2022 14:00:00;6,58;-2,05;0,00;0,00;1432,39
127;13.07.2022 15:00:00;6,65;-2,05;0,00;0,00;1432,69
128;13.07.2022 16:00:00;6,65;-2,11;0,00;0,00;1432,69
129;13.07.2022 17:00:00;6,51;-2,23;0,00;0,00;1432,09
130;13.07.2022 18:00:00;6,27;-2,11;0,00;0,00;1431,03
131;13.07.2022 19:00:00;6,30;-2,23;0,00;0,00;1431,18
132;13.07.2022 20:00:00;6,23;-2,17;0,00;0,00;1430,87
133;13.07.2022 21:00:00;6,05;-2,17;0,00;0,00;1430,11
134;13.07.2022 22:00:00;5,95;-2,17;0,00;0,00;1429,64
135;13.07.2022 23:00:00;5,98;-2,11;0,00;0,00;1429,80
136;14.07.2022 00:00:00;5,91;-2,17;0,00;0,00;1429,49
137;14.07.2022 01:00:00;5,84;-2,23;0,00;0,00;1429,18
138;14.07.2022 02:00:00;6,02;-2,11;0,00;0,00;1429,95
139;14.07.2022 03:00:00;6,27;-2,05;0,00;0,00;1431,03
140;14.07.2022 04:00:00;5,81;-2,17;0,00;0,00;1429,02
141;14.07.2022 05:00:00;5,77;-2,23;0,00;0,00;1428,87
142;14.07.2022 06:00:00;5,73;-2,23;0,00;0,00;1428,71
143;14.07.2022 07:00:00;5,45;-2,29;0,00;0,00;1427,46
144;14.07.2022 08:00:00;5,48;-2,29;0,00;0,00;1427,61
145;14.07.2022 09:00:00;5,16;-2,34;0,00;0,00;1426,19
146;14.07.2022 10:00:00;5,27;-2,17;0,00;0,00;1426,67
147;14.07.2022 11:00:00;5,38;-2,11;0,00;0,00;1427,14
148;14.07.2022 12:00:00;5,45;-2,11;0,00;0,00;1427,46
149;14.07.2022 13:00:00;5,81;-2,05;0,00;0,00;1429,03
150;14.07.2022 14:00:00;5,98;-2,00;0,00;0,00;1429,80
151;14.07.2022 15:00:00;6,02;-2,05;0,00;0,00;1429,95
